Amager Bryghus Taproom Bryggen,Danmark,Köpenhamn,"Egilsgade 20, 2300 København, Denmark",55.66938964475507, 12.580811118651544,https://www.amagerbryghus.dk/en/taproom-bryggen/,images/icon1.png
PineRidge The Zoo,Halland,Falkenberg,"Södergatan 81, 311 32 Falkenberg",56.898413581546414, 12.473389768992066,https://www.pineridgebrewery.se/the-zoo,images/icon1.png
Timjans Brygghus,Halland,Halmstad,"Heagårds Egendom 303A, 305 91 Halmstad",56.69371583831225, 12.784326726478605,http://www.timjansbrygghus.se/,images/icon1.png
Benchwarmers ,Skåne,Helsingborg,"Helsingörskajen 2, 252 66 Helsingborg",56.04689921161093, 12.690908282127474,http://benchwarmers.se/taproom,images/icon1.png
Benchwarmers ,Skåne,Helsingborg,"Vågbrytargränd 2, 252 36 Helsingborg",56.04200515375783, 12.691240762860147,http://benchwarmers.se/taproom,images/icon1.png
Brewski,Skåne,Helsingborg,"Cindersgatan 8, 252 25 Helsingborg",56.03405905686587, 12.703816235516506,http://brewski.se/,images/icon1.png
Hyllie Bryggeri,Skåne,Malmö,"Stormgatan 15, 211 20 Malmö",55.6125226441043, 12.999539568304078,http://hylliebryggeri.se/,images/icon1.png
Hönsinge Hantwerksbryggeri,Skåne,Klagstorp,"Jordbergavägen 122-0, 231 99 Klagstorp",55.43307589100052, 13.514373516502616,http://www.honsinge.se/,images/icon1.png
Lundabryggeriet,Skåne,Lund,"Bredgatan 25, 222 21 Lund",55.712663384332956, 13.19213830163447,https://www.lundsolkallare.se/,images/icon1.png
Malmö Brewing Co,Skåne,Malmö,"Bergsgatan 33, 214 22 Malmö",55.593752787083574, 13.007997972183302,http://www.malmobrewing.com/,images/icon1.png
Åhus Bryggeri & Restaurang Malmö,Skåne,Malmö,"Erik Dahlbergsgatan 7, 211 48 Malmö",55.621114470393636, 13.018959540932869,https://www.ahusbryggeri.se/,images/icon1.png
Bearded Rabbit,Västra Götaland,Göteborg,"Norra Ågatan 10, 416 64 Göteborg",57.71329401512, 11.993859855000805,http://beardedrabbit.com/,images/icon1.png
Beerbliotek,Västra Götaland,Göteborg,"Varholmsgatan 4, 414 74 Göteborg",57.681678391607704, 11.90847807088111,https://beerbliotek.se/taproom/,images/icon1.png
Dugges Pils,Västra Götaland,Göteborg,"Plantagegatan 3A, 413 05 Göteborg",57.697675675300424, 11.950255043896632,https://duggespils.se/,images/icon1.png
MajornasBryggeri,Västra Götaland,Göteborg,"Karl Johansgatan 88, 414 55 Göteborg",57.69398463449532, 11.918986798865012,http://www.majornasbryggeri.se/,images/icon1.png
O/O,Västra Götaland,Göteborg,"Bangatan 22, 414 63 Göteborg",57.696658910672845, 11.93563259786706,https://instagram.com/oobar_gbg,images/icon1.png
Poppels City,Västra Götaland,Göteborg,"Vikingsgatan 1, 411 04 Göteborg",57.7138660357336, 11.971142355539495,https://www.poppels.se/citybryggeriet/,images/icon1.png
Poppels Öl&Mat,Västra Götaland,Jonsered,"KANALSTRÅKET 5, 433 76 Jonsered",57.74976915140977, 12.176570326705521,https://www.poppels.se/olochmat/,images/icon1.png
Spike Brewery,Västra Götaland,Göteborg,"Slakthusområdet, Hus C, 415 02 Göteborg",57.72871291427756, 12.001893153689652,https://www.spikebrewery.com/taproom,images/icon1.png
Två feta grisar,Västra Götaland,Göteborg,"Ringögatan 10, 417 07 Göteborg",57.72191333472871, 11.968467397868322,https://www.tvafetagrisar.com/restaurangen,images/icon1.png
Vega bryggeri,Västra Götaland,Göteborg,"Manufakturgatan 2, 417 07 Göteborg",57.71932126781037, 11.973566175910436,https://www.vegabryggeri.se/restaurang/,images/icon2.png
